City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hamilton,US,39.1834,-84.5333,83.71,76,75,11.5,broken clouds
1,Naryan-Mar,RU,67.6713,53.087,62.44,63,75,11.52,broken clouds
2,Vaini,TO,-21.2,-175.2,78.96,83,20,8.05,few clouds
3,Portland,US,45.5234,-122.6762,98.58,39,16,3.0,few clouds
4,Nago,JP,26.5881,127.9761,81.03,79,4,3.96,clear sky
5,Carnarvon,AU,-24.8667,113.6333,69.1,53,100,0.69,overcast clouds
6,Hobart,AU,-42.8794,147.3294,45.27,80,20,5.75,few clouds
7,Cape Town,ZA,-33.9258,18.4232,57.11,80,0,1.99,clear sky
8,Poum,NC,-20.2333,164.0167,72.75,73,93,15.23,overcast clouds
9,Busselton,AU,-33.65,115.3333,52.16,72,4,7.07,clear sky
10,Jumla,NP,29.2747,82.1838,61.9,97,100,0.58,overcast clouds
11,New Norfolk,AU,-42.7826,147.0587,44.92,84,76,1.01,broken clouds
12,Avarua,CK,-21.2078,-159.775,77.05,65,40,20.71,scattered clouds
13,Punta Arenas,CL,-53.15,-70.9167,41.11,71,49,27.94,scattered clouds
14,Tiksi,RU,71.6872,128.8694,61.32,70,41,6.04,scattered clouds
15,Lebu,CL,-37.6167,-73.65,51.22,83,26,8.46,scattered clouds
16,Sao Filipe,CV,14.8961,-24.4956,79.48,86,78,3.53,broken clouds
17,Bihariganj,IN,25.7333,86.9833,84.72,72,97,3.4,overcast clouds
18,Kodiak,US,57.79,-152.4072,62.11,55,0,12.66,clear sky
19,Hermanus,ZA,-34.4187,19.2345,54.81,85,0,12.17,clear sky
20,Bluff,NZ,-46.6,168.3333,47.8,87,100,12.03,light rain
21,Vestmanna,FO,62.1564,-7.1664,50.92,100,100,14.97,overcast clouds
22,Salinopolis,BR,-0.6136,-47.3561,79.3,81,81,10.49,broken clouds
23,Bengkulu,ID,-3.8004,102.2655,75.33,86,65,2.59,broken clouds
24,Port Alfred,ZA,-33.5906,26.891,64.0,73,99,9.01,overcast clouds
25,Lynn Haven,US,30.2455,-85.6483,85.98,75,28,4.0,light rain
26,Garbolovo,RU,60.3413,30.4955,55.72,96,100,4.03,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,44.26,57,40,8.05,scattered clouds
28,Provideniya,RU,64.3833,-173.3,46.51,93,100,4.47,fog
29,Victoria,HK,22.2855,114.1577,85.95,82,0,8.01,clear sky
30,Mataura,NZ,-46.1927,168.8643,47.48,99,100,2.37,overcast clouds
31,Hoima,UG,1.4356,31.3436,66.67,80,71,2.3,broken clouds
32,Yellowknife,CA,62.456,-114.3525,63.52,59,98,8.34,overcast clouds
33,Castro,BR,-24.7911,-50.0119,59.77,69,55,2.53,broken clouds
34,East London,ZA,-33.0153,27.9116,63.66,75,83,3.69,broken clouds
35,Northam,GB,51.0333,-4.2167,56.61,84,93,2.08,overcast clouds
36,Severo-Kurilsk,RU,50.6789,156.125,54.32,88,67,5.88,broken clouds
37,Qaanaaq,GL,77.484,-69.3632,39.99,80,94,6.89,overcast clouds
38,Cabo San Lucas,MX,22.8909,-109.9124,93.61,66,14,4.7,few clouds
39,Mar Del Plata,AR,-38.0023,-57.5575,54.09,98,96,5.99,moderate rain
