City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Naryan-Mar,RU,62.44,broken clouds,67.6713,53.087,Hostel Agat
5,Carnarvon,AU,69.1,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
7,Cape Town,ZA,57.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
9,Busselton,AU,52.16,clear sky,-33.65,115.3333,Observatory Guest House
10,Jumla,NP,61.9,overcast clouds,29.2747,82.1838,Royal Garden Hotel
14,Tiksi,RU,61.32,scattered clouds,71.6872,128.8694,Arktika
15,Lebu,CL,51.22,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
18,Kodiak,US,62.11,clear sky,57.79,-152.4072,Best Western Kodiak Inn
19,Hermanus,ZA,54.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
21,Vestmanna,FO,50.92,overcast clouds,62.1564,-7.1664,Vestmanna Camping
24,Port Alfred,ZA,64.0,overcast clouds,-33.5906,26.891,The Halyards Hotel
26,Garbolovo,RU,55.72,overcast clouds,60.3413,30.4955,emerald hills
31,Hoima,UG,66.67,broken clouds,1.4356,31.3436,Tik Hotel
32,Yellowknife,CA,63.52,overcast clouds,62.456,-114.3525,The Explorer Hotel
33,Castro,BR,59.77,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
34,East London,ZA,63.66,broken clouds,-33.0153,27.9116,Tu Casa
35,Northam,GB,56.61,overcast clouds,51.0333,-4.2167,Durrant House Hotel
36,Severo-Kurilsk,RU,54.32,broken clouds,50.6789,156.125,Kak Doma
39,Mar Del Plata,AR,54.09,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
41,Port Elizabeth,ZA,62.44,overcast clouds,-33.918,25.5701,39 On Nile Guest House
44,Hailar,CN,63.81,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
54,Cidreira,BR,60.26,broken clouds,-30.1811,-50.2056,Hotel Castelo
62,Valparaiso,CL,57.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
65,Flinders,AU,53.19,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
66,Hovd,MN,58.03,overcast clouds,48.0056,91.6419,Hotel Khovd
67,San Vicente,AR,64.71,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
68,Karratha,AU,67.3,clear sky,-20.7377,116.8463,ibis Styles Karratha
74,Kuytun,RU,53.96,overcast clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
80,College,US,59.07,moderate rain,64.8569,-147.8028,Pike's Waterfront Lodge
83,Beipiao,CN,69.08,light rain,41.7919,120.7792,Beipiao Hotel
84,Khatanga,RU,63.25,overcast clouds,71.9667,102.5,"""Khatanga"""
89,Saint-Philippe,RE,67.59,clear sky,-21.3585,55.7679,Le four à pain
92,La Ronge,CA,68.2,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
96,Marawi,PH,69.26,overcast clouds,7.9986,124.2928,Derogongan Residence
98,Luau,AO,61.25,scattered clouds,-10.7073,22.2247,Kimbo Hotel
106,Severo-Yeniseyskiy,RU,55.29,overcast clouds,60.3725,93.0408,Aktolik
108,San Juan,AR,53.56,broken clouds,-31.5375,-68.5364,Hotel Provincial
109,Vao,NC,69.21,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
112,Tynne,UA,58.53,overcast clouds,50.6015,26.1849,Софія
113,Ludza,LV,53.06,clear sky,56.55,27.7167,"Viesnīca ""Ludza"""
118,Coquimbo,CL,57.11,broken clouds,-29.9533,-71.3436,Hotel San Juan
126,Abashiri,JP,67.95,scattered clouds,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
132,Chuy,UY,58.82,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
134,Heihe,CN,68.58,overcast clouds,50.2441,127.4902,Hotel Strannik
141,Faya,SA,66.72,light rain,18.3851,42.4509,املاك خالد الشعشوع
145,Luderitz,,56.7,clear sky,-26.6481,15.1594,LÜDERITZ NEST HOTEL
146,Shahr-E Babak,IR,68.65,light rain,30.1165,55.1186,سلاطین مس و نقره
147,Klaksvik,FO,52.72,overcast clouds,62.2266,-6.589,Airbnb rooms
155,Riviere-Au-Renard,CA,66.49,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
156,Panzhihua,CN,67.57,overcast clouds,26.5851,101.7128,Electric Power Hotel
