City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Portland,US,2022-07-26 06:28:36,45.5234,-122.6762,80.82,53,0,5.75
1,Bambous Virieux,MU,2022-07-26 06:27:03,-20.3428,57.7575,75.45,69,75,12.66
2,Lebu,CL,2022-07-26 06:24:30,-37.6167,-73.65,52.95,87,26,24.52
3,Aksu,CN,2022-07-26 06:29:52,41.1231,80.2644,97.56,13,0,5.08
4,Coari,BR,2022-07-26 06:28:35,-4.085,-63.1414,75.63,74,70,0.85
5,Jamestown,US,2022-07-26 06:23:11,42.097,-79.2353,58.71,90,0,5.75
6,Nikolskoye,RU,2022-07-26 06:25:38,59.7035,30.7861,73.29,60,91,3.65
7,Sterling,US,2022-07-26 06:25:17,39.0062,-77.4286,75.22,96,100,0.0
8,Kapaa,US,2022-07-26 06:23:13,22.0752,-159.319,80.58,78,40,18.41
9,Busselton,AU,2022-07-26 06:21:58,-33.65,115.3333,60.69,78,100,14.09
10,Buseresere,TZ,2022-07-26 06:29:53,-3.0236,31.8747,68.95,52,47,10.2
11,Klaksvik,FO,2022-07-26 06:24:33,62.2266,-6.589,49.12,80,12,8.1
12,Mezhdurechensk,RU,2022-07-26 06:29:53,53.6942,88.0603,67.73,67,85,4.32
13,Sitka,US,2022-07-26 06:29:54,57.0531,-135.33,57.09,88,100,0.0
14,Iquique,CL,2022-07-26 06:29:54,-20.2208,-70.1431,53.64,80,26,5.44
15,Chernyakhovsk,RU,2022-07-26 06:29:54,54.6335,21.8156,68.88,72,76,11.95
16,Shancheng,CN,2022-07-26 06:29:55,34.7953,116.0817,88.95,63,76,3.78
17,Maceio,BR,2022-07-26 06:28:18,-9.6658,-35.7353,69.24,94,20,4.61
18,Prince Rupert,CA,2022-07-26 06:25:05,54.3161,-130.3201,64.09,90,0,20.71
19,Provideniya,RU,2022-07-26 06:22:08,64.3833,-173.3,45.79,69,95,8.75
20,Port Elizabeth,ZA,2022-07-26 06:22:52,-33.918,25.5701,48.31,89,0,6.91
21,Ushuaia,AR,2022-07-26 06:17:31,-54.8,-68.3,31.66,74,0,9.22
22,Dzerzhinsk,RU,2022-07-26 06:29:56,56.2389,43.4631,80.42,78,0,2.24
23,Victoria,HK,2022-07-26 06:25:31,22.2855,114.1577,95.97,71,41,7.0
24,Kununurra,AU,2022-07-26 06:29:56,-15.7667,128.7333,91.38,17,23,10.36
25,Port Alfred,ZA,2022-07-26 06:29:57,-33.5906,26.891,54.34,68,0,13.02
26,Rikitea,PF,2022-07-26 06:29:57,-23.1203,-134.9692,75.09,75,83,9.84
27,Yerofey Pavlovich,RU,2022-07-26 06:29:57,53.9667,121.9667,85.98,35,13,8.48
28,Barrow,US,2022-07-26 06:17:50,71.2906,-156.7887,35.62,87,100,33.38
29,Punta Arenas,CL,2022-07-26 06:18:18,-53.15,-70.9167,28.51,86,20,5.75
30,Albany,US,2022-07-26 06:29:58,42.6001,-73.9662,63.43,83,0,5.06
