City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Naryan-Mar,RU,62.44,broken clouds,67.6713,53.087,Hostel Agat
2,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
5,Carnarvon,AU,69.1,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
10,Jumla,NP,61.9,overcast clouds,29.2747,82.1838,Royal Garden Hotel
12,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
14,Tiksi,RU,61.32,scattered clouds,71.6872,128.8694,Arktika
16,Sao Filipe,CV,79.48,broken clouds,14.8961,-24.4956,Hotel Xaguate
18,Kodiak,US,62.11,clear sky,57.79,-152.4072,Best Western Kodiak Inn
22,Salinopolis,BR,79.3,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
23,Bengkulu,ID,75.33,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
24,Port Alfred,ZA,64.0,overcast clouds,-33.5906,26.891,The Halyards Hotel
31,Hoima,UG,66.67,broken clouds,1.4356,31.3436,Tik Hotel
32,Yellowknife,CA,63.52,overcast clouds,62.456,-114.3525,The Explorer Hotel
34,East London,ZA,63.66,broken clouds,-33.0153,27.9116,Tu Casa
41,Port Elizabeth,ZA,62.44,overcast clouds,-33.918,25.5701,39 On Nile Guest House
43,Martapura,ID,75.29,mist,-3.4167,114.85,Montana Hotel Syariah
44,Hailar,CN,63.81,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
45,Pontian Kecil,MY,79.25,broken clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
52,Arraial Do Cabo,BR,71.46,clear sky,-22.9661,-42.0278,Pousada Porto Praia
54,Cidreira,BR,60.26,broken clouds,-30.1811,-50.2056,Hotel Castelo
55,Fortuna,US,71.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
57,Rikitea,PF,74.1,overcast clouds,-23.1203,-134.9692,People ThankYou
59,Sisophon,KH,77.31,broken clouds,13.5859,102.9737,Pyramid Hotel
67,San Vicente,AR,64.71,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
68,Karratha,AU,67.3,clear sky,-20.7377,116.8463,ibis Styles Karratha
70,Isangel,VU,76.96,broken clouds,-19.55,169.2667,Tanna Lodge
73,Atuona,PF,77.83,clear sky,-9.8,-139.0333,Villa Enata
77,Mariani,IN,74.97,scattered clouds,26.6667,94.3333,Bitupan Saikia
79,Vila Franca Do Campo,PT,73.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
81,Jamestown,US,74.52,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
82,Faanui,PF,79.07,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
83,Beipiao,CN,69.08,light rain,41.7919,120.7792,Beipiao Hotel
84,Khatanga,RU,63.25,overcast clouds,71.9667,102.5,"""Khatanga"""
85,Mana,GF,79.43,scattered clouds,5.6592,-53.7767,LE SAMANA
89,Saint-Philippe,RE,67.59,clear sky,-21.3585,55.7679,Le four à pain
90,Eyl,SO,76.37,broken clouds,7.9803,49.8164,Amiin Hotel
92,La Ronge,CA,68.2,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
93,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,Pirineos
94,Bose,IT,76.59,clear sky,45.4612,8.0137,Locanda Borgo Antico
95,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
96,Marawi,PH,69.26,overcast clouds,7.9986,124.2928,Derogongan Residence
98,Luau,AO,61.25,scattered clouds,-10.7073,22.2247,Kimbo Hotel
100,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
102,Brokopondo,SR,78.76,overcast clouds,4.75,-55.1667,Matu Island
105,Winneba,GH,74.84,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
109,Vao,NC,69.21,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
111,Natal,BR,75.85,light rain,-5.795,-35.2094,Villa Park Hotel | Natal
114,Kimbe,PG,78.93,scattered clouds,-5.5502,150.1429,Kimbe Bay Hotel
121,Verkhnevilyuysk,RU,71.33,few clouds,63.4453,120.3167,Gostinitsa Mila
126,Abashiri,JP,67.95,scattered clouds,44.0213,144.2697,Tōyoko Inn Hokkaidō Okhotsk Abashiri Ekimae
129,Sfantu Gheorghe,RO,71.26,scattered clouds,45.8667,25.7833,Hotel Park
133,Owando,CG,75.67,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
134,Heihe,CN,68.58,overcast clouds,50.2441,127.4902,Hotel Strannik
135,Hambantota,LK,78.4,overcast clouds,6.1241,81.1185,Bungalow 63
136,Port Hardy,CA,73.58,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
139,Conde,BR,74.66,clear sky,-7.2597,-34.9075,Pousada Beija Flor
140,Kango,GA,72.82,overcast clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
141,Faya,SA,66.72,light rain,18.3851,42.4509,املاك خالد الشعشوع
142,Prabumulih,ID,74.23,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
146,Shahr-E Babak,IR,68.65,light rain,30.1165,55.1186,سلاطین مس و نقره
148,Amga,RU,72.37,few clouds,60.8953,131.9608,Algys
151,Kismayo,SO,75.31,broken clouds,-0.3582,42.5454,Agan-Hotel
155,Riviere-Au-Renard,CA,66.49,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
156,Panzhihua,CN,67.57,overcast clouds,26.5851,101.7128,Electric Power Hotel
157,Caravelas,BR,69.37,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
158,Mayumba,GA,69.75,overcast clouds,-3.432,10.6554,LIKWALE LODGE
163,Zhezkazgan,KZ,72.68,clear sky,47.8043,67.7144,Hotel Zumrat
164,Mezen,RU,64.72,broken clouds,65.8522,44.24,Gostevoy Dom Everest
165,Banda Aceh,ID,77.63,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
169,Norman Wells,CA,68.13,overcast clouds,65.282,-126.8329,Heritage Hotel
173,Grand-Lahou,CI,75.49,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
177,Guerrero Negro,MX,78.96,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
178,Kochi,IN,76.01,overcast clouds,9.9399,76.2602,Trident Hotel Cochin
179,Shelburne,CA,74.75,broken clouds,44.0787,-80.2041,The Retreat at the Farm
186,Kelvington,CA,62.15,broken clouds,52.1667,-103.5343,Sportsman Motel
189,Matara,LK,75.25,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
191,Maragogi,BR,72.59,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
192,Vila Velha,BR,71.94,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
194,Tecalitlan,MX,75.65,overcast clouds,19.4667,-103.3,Hotel Tierra Bella
197,Tual,ID,78.91,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
201,Tautira,PF,77.9,broken clouds,-17.7333,-149.15,Pension Oaoa
203,Soyo,AO,69.98,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
205,Souillac,MU,68.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
206,Haikou,CN,79.43,broken clouds,20.0458,110.3417,Sun City Restaurant
209,Mabay,PH,77.9,overcast clouds,6.0577,124.4666,Bautista Lodging House
210,Nikolskoye,RU,60.69,overcast clouds,59.7035,30.7861,Tourist House - Sablino
213,Balikpapan,ID,77.99,light rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
214,Guaraniacu,BR,61.59,broken clouds,-25.1008,-52.8781,Dalla´s Hotel
215,Santa Maria,BR,68.09,overcast clouds,-29.6842,-53.8069,Hotel Morotin
216,Progreso,MX,75.31,broken clouds,21.2833,-89.6667,Playa Linda Hotel
218,Derzhavinsk,KZ,64.11,few clouds,51.1,66.3167,Ooo.khim Baza
220,Bataipora,BR,75.58,clear sky,-22.2953,-53.2711,Hotel Vale do Ivinhema
221,San Jeronimo,PE,60.69,broken clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
222,Scarborough,GB,60.37,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
223,Brasilia,BR,70.72,clear sky,-15.7797,-47.9297,Airam Brasília Hotel
224,Wasilla,US,68.4,clear sky,61.5814,-149.4394,Alaska's Select Inn Wasilla
226,Turbo,CO,79.9,broken clouds,8.0937,-76.7269,Hotel Plaza Manfortt
232,Cayenne,GF,78.1,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
244,Yaring,TH,77.2,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
245,Labuhan,ID,75.51,broken clouds,-6.8844,112.2051,DoubleFAG
247,Kununurra,AU,60.78,few clouds,-15.7667,128.7333,Hotel Kununurra
249,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
251,Mareeba,AU,65.12,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
253,Lagoa,PT,72.14,broken clouds,39.05,-27.9833,Casa Das Faias
255,Porto Novo,BJ,74.89,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
256,Sibu,MY,72.79,light rain,2.3,111.8167,RH HOTEL (4 Star)
257,Los Llanos De Aridane,ES,73.13,scattered clouds,28.6585,-17.9182,Valle Aridane
258,Asau,RO,65.32,light rain,46.4333,26.4,Casa Mika Ciobanus
260,Parit Buntar,MY,79.95,broken clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
261,Harper,LR,75.27,overcast clouds,4.375,-7.7169,Screensaver
264,Namibe,AO,62.82,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
265,Minna,NG,74.43,overcast clouds,9.6139,6.5569,Royal Park hotel & suites
266,Nouadhibou,MR,71.24,few clouds,20.931,-17.0347,El Medina
268,Dingle,PH,76.06,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
269,Mahebourg,MU,68.29,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
271,Sitka,US,60.69,scattered clouds,57.0531,-135.33,Westmark Sitka
273,Katobu,ID,72.37,broken clouds,-4.9408,122.5276,La Ode Husein
274,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
278,Inhambane,MZ,64.51,clear sky,-23.865,35.3833,Oceano
279,Port Moresby,PG,76.62,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
283,Baiyin,CN,67.93,clear sky,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
284,Santa Catalina,PH,78.6,overcast clouds,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
286,Touros,BR,75.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
287,Luwuk,ID,76.17,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
288,Meulaboh,ID,74.98,overcast clouds,4.1363,96.1285,Kost Pria
289,Nicoya,CR,79.54,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
291,Kribi,CM,75.31,overcast clouds,2.95,9.9167,Hotel Tara Plage
292,Otane,NZ,60.01,light rain,-39.8833,176.6333,Ludlow Farmstay
295,Alexandria,EG,78.96,clear sky,31.2156,29.9553,Royal Crown Hotel
298,Save,BJ,73.18,light rain,8.0425,2.486,Le Cercle du Rail
305,Kang,BW,60.82,few clouds,-23.6752,22.7876,Kang Ultra Stop
308,Atambua,ID,65.95,scattered clouds,-9.1061,124.8925,Kost Alfa Flat
310,Aklavik,CA,60.76,broken clouds,68.2191,-135.0107,Aklavik Inn
311,Amahai,ID,76.42,light rain,-3.3333,128.9167,HOTEL ISABELA
312,Bambous Virieux,MU,69.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
313,Voh,NC,72.3,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
319,Santa Catarina De Tepehuanes,MX,69.03,broken clouds,25.35,-105.7333,hotel plaza
320,Mossendjo,CG,66.6,few clouds,-2.9506,12.7261,HOTEL D'ASSISE
321,Sechura,PE,73.15,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
322,Bubaque,GW,79.86,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
328,Olinda,BR,74.93,light rain,-8.0089,-34.8553,Flat Quatro Rodas Olinda
332,Lahijan,IR,74.21,light rain,37.2061,50.0029,Abrishami Hotel
337,Chernyshevskiy,RU,69.44,few clouds,63.0128,112.4714,Chernyseyskiy
339,Bria,CF,69.89,overcast clouds,6.5423,21.9863,WFP Guesthouse
340,Padang,ID,76.86,overcast clouds,-0.9492,100.3543,Mercure Padang
341,Torbay,CA,64.27,broken clouds,47.6666,-52.7314,Gallows Cove
342,Berezovyy,RU,66.2,broken clouds,51.6667,135.7,"Hotel ""Phoenix"""
344,Maniwaki,CA,77.04,overcast clouds,46.3834,-75.966,Centre Chateau Logue
345,Tezu,IN,75.25,overcast clouds,27.9167,96.1667,Circuit House
346,Cabadiangan,PH,78.35,overcast clouds,9.7531,122.4739,Kipot
347,Udachnyy,RU,73.45,broken clouds,66.4167,112.4,Severnoye Siyaniye
348,Ribeira Grande,PT,73.99,broken clouds,38.5167,-28.7,Quinta da Meia Eira
349,Ellisras,ZA,60.53,clear sky,-23.6649,27.7443,Lapa le le guesthouse
353,Solnechnyy,RU,67.19,moderate rain,50.7214,136.6319,Hotel complex Pastoral
357,Sioux Lookout,CA,60.87,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
360,Pinawa,CA,61.32,overcast clouds,50.1489,-95.8811,Pinawa Motel
361,Yabrud,SY,71.02,clear sky,33.9674,36.6574,صالة افراح الاندلس
362,Goma,CD,66.63,overcast clouds,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
366,Bourail,NC,71.49,overcast clouds,-21.5667,165.4833,Motel Allamanda
367,Roebourne,AU,67.41,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
370,Helong,CN,69.17,broken clouds,42.5397,128.9972,Helong Hotel
377,Latur,IN,75.38,overcast clouds,18.4,76.5833,Hotel Shivneri Durvankur Lodge
378,Bijie,CN,61.63,broken clouds,27.3125,105.2942,Four Points by Sheraton Bijie
381,Nizwa,OM,77.16,overcast clouds,22.9333,57.5333,Orient Apartments
392,Camana,PE,60.84,broken clouds,-16.6228,-72.7111,Hostal Morales
396,Kaduy,RU,64.2,broken clouds,59.2,37.15,Hotel Oktyabrskaya
397,Saint-Prosper,CA,75.49,broken clouds,46.2117,-70.4811,Residence Beau Séiour
